"x","y","text","color"
"0.5185362894921663","-0.20430716440279206","x: 0.52<br>y: -0.20<br>z: 7","7.0"
"0.5185362894921663","0.22827938330686504","x: 0.52<br>y: 0.23<br>z: 197","197.0"
"0.5185362894921663","0.660865931016522","x: 0.52<br>y: 0.66<br>z: 312","312.0"
"0.5185362894921663","1.0934524787261795","x: 0.52<br>y: 1.09<br>z: 54","54.0"
"0.5185362894921663","1.5260390264358363","x: 0.52<br>y: 1.53<br>z: 73","73.0"
"0.5185362894921663","1.9586255741454937","x: 0.52<br>y: 1.96<br>z: 84","84.0"
"0.5185362894921663","2.3912121218551508","x: 0.52<br>y: 2.39<br>z: 87","87.0"
"0.5185362894921663","2.8237986695648085","x: 0.52<br>y: 2.82<br>z: 44","44.0"
"0.5185362894921663","3.256385217274465","x: 0.52<br>y: 3.26<br>z: 11","11.0"
"0.5185362894921663","3.6889717649841227","x: 0.52<br>y: 3.69<br>z: 1","1.0"
"0.6667133952966101","-0.20430716440279206","x: 0.67<br>y: -0.20<br>z: 7","7.0"
"0.6667133952966101","0.22827938330686504","x: 0.67<br>y: 0.23<br>z: 146","146.0"
"0.6667133952966101","0.660865931016522","x: 0.67<br>y: 0.66<br>z: 214","214.0"
"0.6667133952966101","1.0934524787261795","x: 0.67<br>y: 1.09<br>z: 73","73.0"
"0.6667133952966101","1.5260390264358363","x: 0.67<br>y: 1.53<br>z: 80","80.0"
"0.6667133952966101","1.9586255741454937","x: 0.67<br>y: 1.96<br>z: 95","95.0"
"0.6667133952966101","2.3912121218551508","x: 0.67<br>y: 2.39<br>z: 77","77.0"
"0.6667133952966101","2.8237986695648085","x: 0.67<br>y: 2.82<br>z: 33","33.0"
"0.6667133952966101","3.256385217274465","x: 0.67<br>y: 3.26<br>z: 2","2.0"
"0.6667133952966101","3.6889717649841227","x: 0.67<br>y: 3.69<br>z: 2","2.0"
"0.814890501101054","-0.20430716440279206","x: 0.81<br>y: -0.20<br>z: 3","3.0"
"0.814890501101054","0.22827938330686504","x: 0.81<br>y: 0.23<br>z: 50","50.0"
"0.814890501101054","0.660865931016522","x: 0.81<br>y: 0.66<br>z: 109","109.0"
"0.814890501101054","1.0934524787261795","x: 0.81<br>y: 1.09<br>z: 86","86.0"
"0.814890501101054","1.5260390264358363","x: 0.81<br>y: 1.53<br>z: 107","107.0"
"0.814890501101054","1.9586255741454937","x: 0.81<br>y: 1.96<br>z: 94","94.0"
"0.814890501101054","2.3912121218551508","x: 0.81<br>y: 2.39<br>z: 55","55.0"
"0.814890501101054","2.8237986695648085","x: 0.81<br>y: 2.82<br>z: 12","12.0"
"0.814890501101054","3.256385217274465","x: 0.81<br>y: 3.26<br>z: 6","6.0"
"0.9630676069054979","-0.20430716440279206","x: 0.96<br>y: -0.20<br>z: 2","2.0"
